discoveryToolsMain.ambitionDecomposerLibraryGraphic.stages.4.2	"bg-emerald-500"	"bg-emerald-500"
discoveryToolsMain.ambitionDecomposerLibraryGraphic.themes.0.horizon	"short"	"short"
discoveryToolsMain.ambitionDecomposerLibraryGraphic.themes.0.importance	"high"	"high"
discoveryToolsMain.ambitionDecomposerLibraryGraphic.themes.1.horizon	"short"	"short"
discoveryToolsMain.ambitionDecomposerLibraryGraphic.themes.1.importance	"medium"	"medium"
discoveryToolsMain.ambitionDecomposerLibraryGraphic.themes.2.horizon	"medium"	"medium"
discoveryToolsMain.ambitionDecomposerLibraryGraphic.themes.2.importance	"high"	"high"
discoveryToolsMain.ambitionDecomposerLibraryGraphic.themes.3.horizon	"medium"	"medium"
discoveryToolsMain.ambitionDecomposerLibraryGraphic.themes.3.importance	"medium"	"medium"
discoveryToolsMain.ambitionDecomposerLibraryGraphic.themes.4.horizon	"long"	"long"
discoveryToolsMain.ambitionDecomposerLibraryGraphic.themes.4.importance	"high"	"high"
discoveryToolsMain.ambitionDecomposerLibraryGraphic.themes.5.horizon	"long"	"long"
discoveryToolsMain.ambitionDecomposerLibraryGraphic.themes.5.importance	"low"	"low"
discoveryToolsMain.capabilityMapperLibraryGraphic.legend.0.0	"critical"	"critical"
discoveryToolsMain.capabilityMapperLibraryGraphic.legend.1.0	"moderate"	"moderate"
discoveryToolsMain.capabilityMapperLibraryGraphic.legend.2.0	"minor"	"minor"
discoveryToolsMain.capabilityMapperLibraryGraphic.rows.0.gap	"critical"	"critical"
discoveryToolsMain.capabilityMapperLibraryGraphic.rows.1.gap	"critical"	"critical"
discoveryToolsMain.capabilityMapperLibraryGraphic.rows.2.gap	"moderate"	"moderate"
discoveryToolsMain.capabilityMapperLibraryGraphic.rows.3.gap	"moderate"	"moderate"
discoveryToolsMain.capabilityMapperLibraryGraphic.rows.4.gap	"minor"	"minor"
discoveryToolsMain.capabilityMapperLibraryGraphic.stages.0.0	"Brief"	"Brief"
discoveryToolsMain.capabilityMapperLibraryGraphic.stages.0.2	"bg-sky-500"	"bg-sky-500"
discoveryToolsMain.capabilityMapperLibraryGraphic.stages.1.2	"bg-sky-500"	"bg-sky-500"
discoveryToolsMain.capabilityMapperLibraryGraphic.stages.2.2	"bg-blue-500"	"bg-blue-500"
discoveryToolsMain.capabilityMapperLibraryGraphic.stages.3.2	"bg-amber-500"	"bg-amber-500"
discoveryToolsMain.capabilityMapperLibraryGraphic.stages.4.2	"bg-emerald-500"	"bg-emerald-500"
discoveryToolsMain.focusTradeoffLibraryGraphic.bubbles.0.recommendation	"pursue"	"pursue"
discoveryToolsMain.focusTradeoffLibraryGraphic.bubbles.1.recommendation	"pursue"	"pursue"
discoveryToolsMain.focusTradeoffLibraryGraphic.bubbles.2.recommendation	"defer"	"defer"
discoveryToolsMain.focusTradeoffLibraryGraphic.bubbles.3.recommendation	"drop"	"drop"
discoveryToolsMain.focusTradeoffLibraryGraphic.legend.0.0	"pursue"	"pursue"
discoveryToolsMain.focusTradeoffLibraryGraphic.legend.1.0	"defer"	"defer"
discoveryToolsMain.focusTradeoffLibraryGraphic.legend.2.0	"drop"	"drop"
discoveryToolsMain.focusTradeoffLibraryGraphic.quadrants.2.0	"Fill-ins"	"Fill-ins"
discoveryToolsMain.focusTradeoffLibraryGraphic.stages.0.0	"Brief"	"Brief"
discoveryToolsMain.focusTradeoffLibraryGraphic.stages.0.2	"bg-sky-500"	"bg-sky-500"
discoveryToolsMain.focusTradeoffLibraryGraphic.stages.1.2	"bg-sky-500"	"bg-sky-500"
discoveryToolsMain.focusTradeoffLibraryGraphic.stages.2.2	"bg-blue-500"	"bg-blue-500"
discoveryToolsMain.focusTradeoffLibraryGraphic.stages.3.2	"bg-amber-500"	"bg-amber-500"
discoveryToolsMain.focusTradeoffLibraryGraphic.stages.4.2	"bg-emerald-500"	"bg-emerald-500"
discoveryToolsMain.generateInitiativesModal.customPlaceholder	"Custom (1-7)"	"Custom (1-7)"
discoveryToolsMain.knownToolDetail.dynamicSwot.process.decisionSituationsCards.0.accent	"emerald"	"emerald"
